idx_number,name,formatted_name
27668,Mean thickness of S-calcarine (right hemisphere),rh_S_calcarine
27669,Mean thickness of S-central (right hemisphere),rh_S_central
27670,Mean thickness of S-cingul-Marginalis (right hemisphere),rh_S_cingul_Marginalis
27671,Mean thickness of S-circular-insula-ant (right hemisphere),rh_S_circular_insula_ant
27672,Mean thickness of S-circular-insula-inf (right hemisphere),rh_S_circular_insula_inf
27673,Mean thickness of S-circular-insula-sup (right hemisphere),rh_S_circular_insula_sup
27674,Mean thickness of S-collat-transv-ant (right hemisphere),rh_S_collat_transv_ant
27675,Mean thickness of S-collat-transv-post (right hemisphere),rh_S_collat_transv_post
27676,Mean thickness of S-front-inf (right hemisphere),rh_S_front_inf
27677,Mean thickness of S-front-middle (right hemisphere),rh_S_front_middle
27678,Mean thickness of S-front-sup (right hemisphere),rh_S_front_sup
27679,Mean thickness of S-interm-prim-Jensen (right hemisphere),rh_S_interm_prim_Jensen
27680,Mean thickness of S-intrapariet+P-trans (right hemisphere),rh_S_intrapariet_and_P_trans
27681,Mean thickness of S-oc-middle+Lunatus (right hemisphere),rh_S_oc_middle_and_Lunatus
27682,Mean thickness of S-oc-sup+transversal (right hemisphere),rh_S_oc_sup_and_transversal
27683,Mean thickness of S-occipital-ant (right hemisphere),rh_S_occipital_ant
27684,Mean thickness of S-oc-temp-lat (right hemisphere),rh_S_oc_temp_lat
27685,Mean thickness of S-oc-temp-med+Lingual (right hemisphere),rh_S_oc_temp_med_and_Lingual
27686,Mean thickness of S-orbital-lateral (right hemisphere),rh_S_orbital_lateral
27687,Mean thickness of S-orbital-med-olfact (right hemisphere),rh_S_orbital_med_olfact
27688,Mean thickness of S-orbital-H-Shaped (right hemisphere),rh_S_orbital_H_Shaped
27689,Mean thickness of S-parieto-occipital (right hemisphere),rh_S_parieto_occipital
27690,Mean thickness of S-pericallosal (right hemisphere),rh_S_pericallosal
27691,Mean thickness of S-postcentral (right hemisphere),rh_S_postcentral
27692,Mean thickness of S-precentral-inf-part (right hemisphere),rh_S_precentral_inf_part
27693,Mean thickness of S-precentral-sup-part (right hemisphere),rh_S_precentral_sup_part
27694,Mean thickness of S-suborbital (right hemisphere),rh_S_suborbital
27695,Mean thickness of S-subparietal (right hemisphere),rh_S_subparietal
27696,Mean thickness of S-temporal-inf (right hemisphere),rh_S_temporal_inf
27697,Mean thickness of S-temporal-sup (right hemisphere),rh_S_temporal_sup
27698,Mean thickness of S-temporal-transverse (right hemisphere),rh_S_temporal_transverse
